time,x,y,z
0.966,-0.05,0.08,0.66
0.967,-0.05,0.08,0.64
0.967,-0.06,0.09,0.63
0.985,-0.07,0.09,0.66
0.986,-0.10,0.09,0.70
0.986,-0.13,0.08,0.76
0.987,-0.12,0.08,0.83
1.005,-0.12,0.07,0.92
1.006,-0.14,0.05,0.97
1.007,-0.14,0.03,1.02
1.008,-0.13,0.02,1.07
1.025,-0.12,-0.00,1.10
1.026,-0.09,-0.03,1.13
1.026,-0.08,-0.05,1.17
1.027,-0.06,-0.06,1.21
1.045,-0.02,-0.08,1.23
1.046,-0.00,-0.09,1.26
1.047,0.01,-0.09,1.26
1.048,0.01,-0.09,1.24
1.065,0.02,-0.07,1.21
1.066,0.02,-0.05,1.16
1.067,0.02,-0.03,1.10
1.067,0.00,-0.01,1.02
1.086,0.00,-0.00,0.98
1.087,-0.00,0.00,0.93
1.087,-0.01,0.02,0.89
1.087,0.00,0.04,0.87
1.106,0.01,0.05,0.85
1.107,-0.01,0.06,0.85
1.107,-0.02,0.08,0.85
1.108,-0.04,0.09,0.85
1.128,-0.03,0.10,0.87
1.129,-0.02,0.10,0.89
1.130,-0.02,0.10,0.90
1.130,-0.01,0.11,0.92
1.146,-0.00,0.09,0.92
1.147,0.03,0.09,0.92
1.148,0.05,0.08,0.92
1.149,0.05,0.08,0.94
1.166,0.07,0.07,0.94
1.166,0.07,0.08,0.95
1.167,0.06,0.08,0.97
1.168,0.06,0.08,0.99
1.186,0.04,0.07,1.01
1.187,0.04,0.08,1.03
1.187,0.02,0.08,1.06
1.188,0.02,0.07,1.08
1.206,-0.00,0.07,1.09
1.207,-0.02,0.07,1.11
1.207,-0.01,0.08,1.12
1.208,-0.02,0.07,1.12
1.226,-0.01,0.08,1.12
1.227,-0.02,0.08,1.12
1.227,-0.02,0.08,1.12
1.228,-0.04,0.06,1.10
1.246,-0.04,0.07,1.09
1.247,-0.05,0.07,1.08
1.248,-0.06,0.07,1.09
1.248,-0.08,0.07,1.09
1.266,-0.08,0.05,1.10
1.267,-0.07,0.06,1.10
1.268,-0.05,0.05,1.11
1.268,-0.05,0.05,1.11
1.286,-0.04,0.05,1.12
1.287,-0.03,0.05,1.11
1.287,-0.02,0.04,1.12
1.288,-0.02,0.03,1.11
1.306,-0.01,0.04,1.11
1.307,-0.01,0.03,1.12
1.308,-0.01,0.03,1.11
1.308,-0.00,0.04,1.10
1.326,-0.01,0.04,1.08
1.327,-0.00,0.06,1.07
1.328,-0.01,0.07,1.05
1.328,-0.00,0.09,1.03
1.346,-0.01,0.11,1.03
1.347,-0.01,0.10,1.02
1.348,-0.00,0.10,1.02
1.348,-0.01,0.08,1.03
1.367,-0.01,0.05,1.05
1.368,-0.00,0.01,1.10
1.368,-0.03,-0.01,1.18
1.368,-0.04,-0.05,1.23
1.387,-0.04,-0.10,1.27
1.388,-0.03,-0.13,1.33
1.388,-0.03,-0.15,1.39
1.389,0.01,-0.18,1.44
1.407,0.05,-0.20,1.49
1.407,0.08,-0.23,1.50
1.408,0.12,-0.23,1.49
1.409,0.14,-0.26,1.43
1.427,0.17,-0.25,1.36
1.428,0.16,-0.24,1.27
1.428,0.16,-0.21,1.18
1.429,0.15,-0.19,1.10
1.446,0.14,-0.17,1.01
1.447,0.11,-0.13,0.95
1.448,0.09,-0.08,0.86
1.448,0.05,-0.04,0.79
1.469,0.03,-0.00,0.70
1.470,0.01,0.03,0.65
1.470,-0.01,0.05,0.61
1.471,-0.04,0.07,0.57
1.487,-0.03,0.08,0.54
1.488,-0.03,0.08,0.55
1.488,-0.01,0.07,0.54
1.489,-0.00,0.07,0.58
1.507,0.03,0.06,0.60
1.508,0.05,0.04,0.66
1.508,0.05,0.03,0.71
1.509,0.05,0.02,0.78
1.528,0.04,-0.00,0.84
1.528,0.02,-0.02,0.91
1.529,0.03,-0.06,0.96
1.529,0.03,-0.08,1.01
1.547,0.03,-0.11,1.07
1.548,0.05,-0.15,1.09
1.549,0.06,-0.15,1.12
1.549,0.09,-0.15,1.11
1.567,0.10,-0.15,1.11
1.568,0.09,-0.12,1.11
1.568,0.07,-0.09,1.09
1.569,0.05,-0.08,1.07
1.587,0.04,-0.06,1.04
1.588,0.02,-0.04,1.02
1.589,0.01,-0.02,0.99
1.589,0.00,0.01,0.96
1.608,-0.02,0.02,0.93
1.608,-0.02,0.05,0.89
1.609,-0.03,0.08,0.86
1.609,-0.03,0.10,0.85
1.627,-0.04,0.12,0.85
1.629,-0.02,0.13,0.84
1.630,-0.01,0.13,0.85
1.630,-0.00,0.13,0.87
1.648,0.03,0.13,0.89
1.648,0.04,0.11,0.89
1.649,0.06,0.10,0.90
1.650,0.06,0.11,0.91
