time,x,y,z
0.013,0.01,0.08,1.01
0.013,0.01,0.07,1.04
0.013,0.02,0.08,1.05
0.014,0.01,0.07,1.05
0.023,0.02,0.07,1.04
0.023,0.02,0.07,1.02
0.024,0.02,0.07,1.01
0.024,0.01,0.07,1.00
0.042,0.02,0.07,1.00
0.042,0.01,0.07,0.99
0.042,0.01,0.07,1.00
0.043,0.02,0.07,1.02
0.061,0.02,0.07,1.02
0.062,0.02,0.07,1.02
0.062,0.02,0.08,1.01
0.062,0.03,0.07,1.02
0.083,0.03,0.08,1.01
0.083,0.03,0.08,1.01
0.084,0.02,0.08,1.01
0.084,0.02,0.07,1.01
0.105,0.02,0.08,1.02
0.106,0.02,0.08,1.01
0.106,0.03,0.08,1.00
0.107,0.01,0.07,1.00
0.123,0.01,0.07,1.00
0.123,0.02,0.08,1.00
0.124,0.01,0.07,0.99
0.124,0.04,0.08,0.99
0.142,0.04,0.07,1.00
0.143,0.04,0.08,1.01
0.143,0.04,0.08,1.01
0.144,0.03,0.07,1.01
0.162,0.03,0.07,1.01
0.163,0.02,0.08,1.01
0.164,0.03,0.08,1.02
0.164,0.02,0.07,1.02
0.182,0.02,0.08,1.04
0.183,0.02,0.08,1.03
0.183,0.02,0.08,1.04
0.184,0.03,0.09,1.03
0.206,0.02,0.09,1.04
0.206,0.02,0.08,1.04
0.207,0.03,0.08,1.04
0.207,0.03,0.09,1.04
0.225,0.03,0.09,1.03
0.226,0.02,0.09,1.03
0.226,0.03,0.09,1.02
0.226,0.03,0.10,1.01
0.243,0.04,0.10,1.00
0.243,0.03,0.09,1.01
0.244,0.03,0.09,1.01
0.244,0.03,0.09,1.01
0.263,0.04,0.10,1.00
0.263,0.05,0.09,1.00
0.264,0.05,0.10,1.01
0.264,0.06,0.09,1.01
0.283,0.05,0.09,1.01
0.284,0.06,0.10,1.01
0.284,0.06,0.10,1.02
0.285,0.06,0.10,1.01
0.303,0.06,0.10,1.02
0.304,0.07,0.10,1.02
0.305,0.06,0.10,1.02
0.305,0.06,0.10,1.02
0.324,0.06,0.10,1.01
0.325,0.06,0.10,1.01
0.325,0.07,0.10,1.01
0.326,0.07,0.10,1.01
0.344,0.06,0.10,1.01
0.345,0.06,0.10,1.02
0.345,0.07,0.11,1.02
0.345,0.06,0.10,1.02
0.364,0.06,0.10,1.03
0.365,0.06,0.10,1.03
0.365,0.06,0.09,1.05
0.365,0.05,0.10,1.05
0.384,0.06,0.09,1.04
0.385,0.07,0.10,1.05
0.385,0.06,0.09,1.04
0.386,0.06,0.10,1.05
0.407,0.06,0.10,1.05
0.408,0.06,0.10,1.05
0.408,0.06,0.11,1.04
0.409,0.06,0.11,1.04
0.425,0.06,0.11,1.03
0.426,0.06,0.11,1.03
0.427,0.05,0.11,1.02
0.427,0.06,0.11,1.01
0.445,0.05,0.11,1.00
0.446,0.05,0.10,1.00
0.446,0.07,0.11,0.99
0.447,0.07,0.10,1.00
0.465,0.06,0.10,1.00
0.466,0.06,0.11,1.00
0.466,0.07,0.09,1.00
0.467,0.06,0.09,0.99
0.490,0.05,0.08,0.99
0.490,0.06,0.08,0.98
0.491,0.06,0.07,0.98
0.492,0.07,0.06,0.98
0.505,0.07,0.07,0.97
0.510,0.07,0.06,0.98
0.512,0.08,0.06,0.98
0.512,0.07,0.06,1.01
0.525,0.07,0.06,1.02
0.526,0.08,0.05,1.03
0.527,0.06,0.05,1.05
0.527,0.06,0.06,1.05
0.557,0.06,0.05,1.07
0.558,0.05,0.05,1.09
0.559,0.05,0.05,1.09
0.559,0.04,0.05,1.10
